iter	Passed	Remaining
0	55	55438
1	59	29505
2	62	20808
3	67	16690
4	70	14067
5	74	12354
6	78	11133
7	82	10209
8	85	9446
9	89	8866
10	93	8391
11	96	7930
12	99	7566
13	102	7239
14	105	6945
15	108	6697
16	111	6460
17	115	6279
18	117	6091
19	120	5920
20	123	5778
21	127	5656
22	130	5529
23	133	5415
24	136	5320
25	139	5243
26	143	5156
27	146	5074
28	149	5011
29	152	4932
30	155	4871
31	158	4800
32	162	4750
33	164	4687
34	168	4640
35	171	4596
36	174	4551
37	177	4502
38	180	4451
39	183	4406
40	186	4366
41	189	4325
42	193	4299
43	196	4261
44	199	4234
45	202	4203
46	206	4181
47	209	4147
48	212	4118
49	215	4090
50	218	4069
51	221	4043
52	225	4025
53	228	4003
54	231	3979
55	234	3955
56	238	3941
57	241	3918
58	244	3898
59	247	3877
60	250	3853
61	253	3836
62	256	3819
63	260	3803
64	263	3785
65	266	3771
66	269	3752
67	272	3736
68	275	3720
69	278	3703
70	281	3686
71	284	3670
72	287	3654
73	291	3646
74	294	3635
75	297	3620
76	301	3613
77	304	3602
78	308	3592
79	311	3582
80	314	3571
81	318	3561
82	321	3548
83	324	3537
84	327	3524
85	330	3512
86	333	3502
87	337	3494
88	340	3483
89	343	3470
90	346	3457
91	348	3443
92	351	3431
93	354	3419
94	357	3409
95	360	3398
96	364	3388
97	366	3376
98	369	3366
99	373	3358
100	376	3346
101	378	3336
102	382	3330
103	385	3322
104	388	3313
105	391	3302
106	394	3294
107	397	3284
108	400	3272
109	403	3263
110	406	3254
111	409	3247
112	412	3238
113	416	3233
114	419	3229
115	422	3221
116	425	3213
117	429	3207
118	432	3198
119	435	3194
120	438	3184
121	442	3182
122	445	3174
123	448	3170
124	452	3165
125	455	3159
126	458	3152
127	461	3145
128	464	3136
129	467	3130
130	470	3123
131	474	3121
132	477	3114
133	480	3106
134	484	3101
135	487	3096
136	490	3090
137	493	3084
138	496	3076
139	499	3070
140	503	3065
141	506	3062
142	510	3056
143	512	3048
144	515	3042
145	519	3035
146	522	3031
147	525	3025
148	528	3017
149	531	3011
150	534	3006
151	537	3000
152	541	3000
153	545	2994
154	548	2991
155	552	2988
156	556	2986
157	559	2981
